,Accession,Host,Isolation Host,staining
7712,MN850645,Escherichia,Escherichia coli,negative
7713,MN850644,Escherichia,Escherichia coli,negative
7714,MN850643,Escherichia,Escherichia coli,negative
7715,MN850642,Escherichia,Escherichia coli,negative
7716,MN850641,Escherichia,Escherichia coli,negative
7717,MN850640,Escherichia,Escherichia coli,negative
7718,MN850639,Escherichia,Escherichia coli,negative
7719,MN850638,Escherichia,Escherichia coli,negative
7720,MN850637,Escherichia,Escherichia coli,negative
7721,MN850636,Escherichia,Escherichia coli,negative
7722,MN850635,Escherichia,Escherichia coli,negative
7723,MN850634,Escherichia,Escherichia coli,negative
7724,MN850633,Escherichia,Escherichia coli,negative
7725,MN850632,Escherichia,Escherichia coli,negative
7726,MN850630,Escherichia,Escherichia coli,negative
7727,MN850629,Escherichia,Escherichia coli,negative
7728,MN850627,Escherichia,Escherichia coli,negative
7729,MN850626,Escherichia,Escherichia coli,negative
7730,MN850625,Escherichia,Escherichia coli,negative
7731,MN850624,Escherichia,Escherichia coli,negative
7732,MN850623,Escherichia,Escherichia coli,negative
7733,MN850622,Escherichia,Escherichia coli,negative
7734,MN850621,Escherichia,Escherichia coli,negative
7735,MN850620,Escherichia,Escherichia coli,negative
7736,MN850619,Escherichia,Escherichia coli,negative
7737,MN850618,Escherichia,Escherichia coli,negative
7738,MN850617,Escherichia,Escherichia coli,negative
7739,MN850616,Escherichia,Escherichia coli,negative
7740,MN850615,Escherichia,Escherichia coli,negative
7741,MN850614,Escherichia,Escherichia coli,negative
7742,MN850613,Escherichia,Escherichia coli,negative
7743,MN850612,Escherichia,Escherichia coli,negative
7744,MN850611,Escherichia,Escherichia coli,negative
7745,MN850610,Escherichia,Escherichia coli,negative
7746,MN850609,Escherichia,Escherichia coli,negative
7747,MN850608,Escherichia,Escherichia coli,negative
7748,MN850607,Escherichia,Escherichia coli,negative
7749,MN850606,Escherichia,Escherichia coli,negative
7750,MN850605,Escherichia,Escherichia coli,negative
7751,MN850604,Escherichia,Escherichia coli,negative
7752,MN850603,Escherichia,Escherichia coli,negative
7753,MN850602,Escherichia,Escherichia coli,negative
7754,MN850601,Escherichia,Escherichia coli,negative
7755,MN850600,Escherichia,Escherichia coli,negative
7756,MN850599,Escherichia,Escherichia coli,negative
7757,MN850598,Escherichia,Escherichia coli,negative
7758,MN850597,Escherichia,Escherichia coli,negative
7759,MN850596,Escherichia,Escherichia coli,negative
7760,MN850595,Escherichia,Escherichia coli,negative
7761,MN850594,Escherichia,Escherichia coli,negative
7762,MN850593,Escherichia,Escherichia coli,negative
7763,MN850592,Escherichia,Escherichia coli,negative
7764,MN850591,Escherichia,Escherichia coli,negative
7765,MN850590,Escherichia,Escherichia coli,negative
7766,MN850589,Escherichia,Escherichia coli,negative
7767,MN850588,Escherichia,Escherichia coli,negative
7768,MN850587,Escherichia,Escherichia coli,negative
7769,MN850586,Escherichia,Escherichia coli,negative
7770,MN850585,Escherichia,Escherichia coli,negative
7771,MN850584,Escherichia,Escherichia coli,negative
7772,MN850583,Escherichia,Escherichia coli,negative
7773,MN850582,Escherichia,Escherichia coli,negative
7774,MN850580,Escherichia,Escherichia coli,negative
7775,MN850579,Escherichia,Escherichia coli,negative
7776,MN850578,Escherichia,Escherichia coli,negative
7777,MN850577,Escherichia,Escherichia coli,negative
7778,MN850576,Escherichia,Escherichia coli,negative
7779,MN850575,Escherichia,Escherichia coli,negative
7780,MN850574,Escherichia,Escherichia coli,negative
7781,MN850573,Escherichia,Escherichia coli,negative
7782,MN850572,Escherichia,Escherichia coli,negative
7783,MN850571,Escherichia,Escherichia coli,negative
7784,MN850570,Escherichia,Escherichia coli,negative
7785,MN850569,Escherichia,Escherichia coli,negative
7786,MN850568,Escherichia,Escherichia coli,negative
7787,MN850567,Escherichia,Escherichia coli,negative
7788,MN850566,Escherichia,Escherichia coli,negative
7789,MN850565,Escherichia,Escherichia coli,negative
7790,MN850564,Escherichia,Escherichia coli,negative
7791,MN895438,Escherichia,Escherichia coli,negative
7792,MN895437,Escherichia,Escherichia coli,negative
7793,MN895436,Escherichia,Escherichia coli,negative
7794,MN895435,Escherichia,Escherichia coli,negative
7795,MN895434,Escherichia,Escherichia coli,negative
7796,MK791318,Escherichia,Escherichia coli,negative
7798,MK629526,Escherichia,Escherichia coli,negative
7799,MK672798,Escherichia,Escherichia coli,negative
7800,MK651787,Escherichia,Escherichia coli,negative
7801,MK629529,Escherichia,Escherichia coli,negative
7802,MK629528,Escherichia,Escherichia coli,negative
7803,MK629527,Escherichia,Escherichia coli,negative
7804,MK629525,Escherichia,Escherichia coli,negative
7805,MK599416,Salmonella,Salmonella enterica,positive
7806,MK552105,Escherichia,Escherichia coli,negative
7807,MK125140,Enterococcus,Enterococcus faecalis,positive
7808,MK125141,Salmonella,Salmonella enterica,positive
7809,MK105855,Escherichia,Escherichia coli,negative
7810,MK080312,Salmonella,Salmonella enterica,positive
7811,MH362766,Escherichia,Escherichia coli,negative
7812,MN954399,Vibrio,Vibrio parahaemolyticus,negative
7814,MW419910,Enterobacter,Klebsiella aerogenes,negative
7815,MW331437,Escherichia,Escherichia coli,negative
7816,MW239157,Klebsiella,Klebsiella pneumoniae,negative
7817,MW411578,Salmonella,Salmonella sp.,positive
7826,MW394391,Klebsiella,Klebsiella pneumoniae,negative
7827,MW394390,Klebsiella,Klebsiella pneumoniae,negative
7828,MW394389,Klebsiella,Klebsiella pneumoniae,negative
7829,MW394388,Klebsiella,Klebsiella pneumoniae,negative
7830,MW367898,Proteus,Proteus mirabilis,negative
7831,MW423798,Salmonella,Salmonella enterica,positive
7832,MW423797,Salmonella,Salmonella enterica,positive
7833,MW385300,Providencia,Providencia stuartii,negative
7834,MW349138,Erwinia,Erwinia amylovora,negative
7835,MW344054,Vibrio,Vibrio harveyi,negative
7840,MW345241,Acinetobacter,Acinetobacter baumannii,negative
7842,MW388003,Acinetobacter,Acinetobacter baumannii,negative
7843,MW388002,Acinetobacter,Acinetobacter baumannii,negative
7844,MW388001,Acinetobacter,Acinetobacter baumannii,negative
7845,MW349129,Staphylococcus,Staphylococcus aureus,positive
7846,MW349128,Staphylococcus,Staphylococcus aureus,positive
7850,MW448170,Klebsiella,Klebsiella pneumoniae,negative
7851,MW384823,Erwinia,Erwinia amylovora,negative
7852,MW366843,Erwinia,Erwinia amylovora,negative
7855,MW344056,Vibrio,Vibrio harveyi,negative
7856,MW344055,Vibrio,Vibrio harveyi,negative
7857,MW417503,Klebsiella,Klebsiella pneumoniae,negative
7865,MW387018,Gardnerella,Gardnerella vaginalis,negative
7866,MW363799,Staphylococcus,Staphylococcus aureus,positive
7867,MW363798,Staphylococcus,Staphylococcus aureus,positive
7868,MW247147,Helicobacter,Helicobacter pylori,negative
7869,MW247145,Helicobacter,Helicobacter pylori,negative
7870,MW247144,Helicobacter,Helicobacter pylori,negative
7871,MW247146,Helicobacter,Helicobacter pylori,negative
7872,MW247143,Helicobacter,Helicobacter pylori,negative
7873,MT966873,Klebsiella,Klebsiella pneumoniae,negative
7874,MT966872,Klebsiella,Klebsiella pneumoniae,negative
7875,MT782071,Escherichia,Escherichia coli,negative
7876,MW388004,Acinetobacter,Acinetobacter baumannii,negative
7877,MW393850,Stenotrophomonas,Stenotrophomonas maltophilia,negative
7881,MW286157,Escherichia,Escherichia coli,negative
7882,MW286156,Escherichia,Escherichia coli,negative
7883,MW331544,Vibrio,Vibrio campbellii,negative
7884,MW325771,Salmonella,Salmonella enterica,positive
7885,MW248466,Staphylococcus,Staphylococcus aureus,positive
7886,MW114771,Vibrio,Vibrio coralliilyticus,negative
7888,MT949699,Acinetobacter,Acinetobacter baumannii,negative
7891,MW423739,Vibrio,Vibrio parahaemolyticus,negative
7892,MW423738,Vibrio,Vibrio parahaemolyticus,negative
7893,MW423737,Vibrio,Vibrio parahaemolyticus,negative
7894,MW296032,Salmonella,Salmonella sp.,positive
7895,MT740748,Aeromonas,Aeromonas sp.,negative
7896,MT380195,Klebsiella,Klebsiella pneumoniae,negative
7897,MN087708,Enterobacter,Enterobacter hormaechei,negative
7898,MK610268,Hafnia,Hafnia paralvei,negative
7899,MW272540,Aeromonas,Aeromonas hydrophila,negative
7900,MW343794,Cronobacter,Cronobacter sp.,negative
7901,MW239124,Citrobacter,Citrobacter koseri,negative
7902,MW233709,Escherichia,Escherichia coli,negative
7903,MT975991,Alteromonas,Alteromonas macleodii,negative
7904,MT653137,Salmonella,Salmonella enterica,positive
7905,MK455770,Aeromonas,Aeromonas hydrophila,negative
7906,MT944117,Escherichia,Escherichia coli,negative
7907,AP019417,Vibrio,Vibrio parahaemolyticus,negative
7908,MT901800,Erwinia,Erwinia amylovora,negative
7909,MW032477,Lactococcus,Lactococcus lactis,positive
7910,MW041640,Lactococcus,Lactococcus lactis,positive
7911,MW041637,Lactococcus,Lactococcus lactis,positive
7912,MW041636,Lactococcus,Lactococcus lactis,positive
7913,MW041635,Lactococcus,Lactococcus lactis,positive
7914,MW041634,Lactococcus,Lactococcus lactis,positive
7915,MW041633,Lactococcus,Lactococcus lactis,positive
7916,MW041632,Lactococcus,Lactococcus lactis,positive
7917,LC596379,Enterococcus,Enterococcus faecalis,positive
7918,LC596378,Enterococcus,Enterococcus faecalis,positive
7919,LC596377,Enterococcus,Enterococcus faecalis,positive
7920,MT901799,Erwinia,Erwinia amylovora,negative
7921,MT901798,Erwinia,Erwinia amylovora,negative
7922,MT901797,Erwinia,Erwinia amylovora,negative
7923,MW273926,Pelagibacter,Candidatus Pelagibacter,negative
7924,MW273925,Pelagibacter,Candidatus Pelagibacter,negative
7925,MW273924,Pelagibacter,Candidatus Pelagibacter,negative
7926,MW273923,Pelagibacter,Candidatus Pelagibacter,negative
7927,MW273922,Pelagibacter,Candidatus Pelagibacter,negative
7928,MW273921,Pelagibacter,Candidatus Pelagibacter,negative
7929,MW273920,Pelagibacter,Candidatus Pelagibacter,negative
7931,MT863731,Campylobacter,Campylobacter jejuni,negative
7932,MT863730,Campylobacter,Campylobacter jejuni,negative
7933,MT863729,Campylobacter,Campylobacter jejuni,negative
7934,MT863728,Campylobacter,Campylobacter jejuni,negative
7935,MT863727,Campylobacter,Campylobacter jejuni,negative
7936,MT863726,Campylobacter,Campylobacter jejuni,negative
7937,MT863725,Campylobacter,Campylobacter jejuni,negative
7938,MT863724,Campylobacter,Campylobacter jejuni,negative
7939,MT863723,Campylobacter,Campylobacter jejuni,negative
7940,MT863722,Campylobacter,Campylobacter jejuni,negative
7941,MT863721,Campylobacter,Campylobacter jejuni,negative
7942,MT863720,Campylobacter,Campylobacter jejuni,negative
7943,MT863719,Campylobacter,Campylobacter jejuni,negative
7944,MT863718,Campylobacter,Campylobacter jejuni,negative
7945,MT863717,Campylobacter,Campylobacter jejuni,negative
7946,MT863716,Campylobacter,Campylobacter jejuni,negative
7947,MT863715,Campylobacter,Campylobacter jejuni,negative
7948,MT863714,Campylobacter,Campylobacter jejuni,negative
7949,MG835568,Klebsiella,Klebsiella pneumoniae,negative
7950,MT497273,Rheinheimera,Rheinheimera sp.,negative
7951,MT497272,Rheinheimera,Rheinheimera sp.,negative
7952,MT497271,Rheinheimera,Rheinheimera sp.,negative
7953,MT497270,Rheinheimera,Rheinheimera sp.,negative
7954,MT497269,Rheinheimera,Rheinheimera sp.,negative
7955,MT497268,Rheinheimera,Rheinheimera sp.,negative
7956,MT497267,Rheinheimera,Rheinheimera sp.,negative
7957,MT497266,Rheinheimera,Rheinheimera sp.,negative
7958,MT497265,Rheinheimera,Rheinheimera sp.,negative
7959,MT497264,Rheinheimera,Rheinheimera sp.,negative
7960,MT497263,Rheinheimera,Rheinheimera sp.,negative
7961,MT497262,Rheinheimera,Rheinheimera sp.,negative
7962,MT497261,Rheinheimera,Rheinheimera sp.,negative
7963,MT497260,Rheinheimera,Rheinheimera sp.,negative
7964,MT497259,Rheinheimera,Rheinheimera sp.,negative
7965,MT497258,Rheinheimera,Rheinheimera sp.,negative
7966,MT497257,Rheinheimera,Rheinheimera sp.,negative
7967,MT497256,Rheinheimera,Rheinheimera sp.,negative
7968,MT497255,Rheinheimera,Rheinheimera sp.,negative
7969,MT497254,Rheinheimera,Rheinheimera sp.,negative
7970,MT497253,Rheinheimera,Rheinheimera sp.,negative
7971,MT497252,Rheinheimera,Rheinheimera sp.,negative
7972,MT497251,Rheinheimera,Rheinheimera sp.,negative
7973,MT497250,Rheinheimera,Rheinheimera sp.,negative
7974,MT497249,Rheinheimera,Rheinheimera sp.,negative
7975,MT497248,Rheinheimera,Rheinheimera sp.,negative
7976,MT497247,Rheinheimera,Rheinheimera sp.,negative
7977,MT497246,Rheinheimera,Rheinheimera sp.,negative
7978,MT497245,Rheinheimera,Rheinheimera sp.,negative
7979,MT497244,Rheinheimera,Rheinheimera sp.,negative
7980,MT497243,Rheinheimera,Rheinheimera sp.,negative
7981,MT497242,Rheinheimera,Rheinheimera sp.,negative
7982,MT497241,Rheinheimera,Rheinheimera sp.,negative
7983,MT497240,Rheinheimera,Rheinheimera sp.,negative
7984,MT497239,Rheinheimera,Rheinheimera sp.,negative
7985,MT497238,Rheinheimera,Rheinheimera sp.,negative
7986,MT497237,Rheinheimera,Rheinheimera sp.,negative
7987,MT497236,Rheinheimera,Rheinheimera sp.,negative
7988,MT497235,Rheinheimera,Rheinheimera sp.,negative
7989,MT497234,Rheinheimera,Rheinheimera sp.,negative
7990,MT497233,Rheinheimera,Rheinheimera sp.,negative
7991,MT497232,Rheinheimera,Rheinheimera sp.,negative
7992,MT497231,Rheinheimera,Rheinheimera sp.,negative
7993,MT497230,Rheinheimera,Rheinheimera sp.,negative
7994,MT497229,Rheinheimera,Rheinheimera sp.,negative
7995,MW341595,Shigella,Shigella flexneri,negative
7997,MW250641,Vibrio,Vibrio parahaemolyticus,negative
8000,MN854830,Enterococcus,Enterococcus faecalis,positive
8001,LC545446,Nitratiruptor,Nitratiruptor sp.,negative
8002,LC545445,Nitratiruptor,Nitratiruptor sp.,negative
8003,LC545444,Nitratiruptor,Nitratiruptor sp.,negative
8004,LC545443,Nitratiruptor,Nitratiruptor sp.,negative
8005,MW238767,Staphylococcus,Staphylococcus aureus,positive
8006,MW175414,Escherichia,Escherichia coli,negative
8007,MT497279,Rheinheimera,Rheinheimera sp.,negative
8008,MT497278,Rheinheimera,Rheinheimera sp.,negative
8009,MT497277,Rheinheimera,Rheinheimera sp.,negative
8010,MT497276,Rheinheimera,Rheinheimera sp.,negative
8011,MT497275,Rheinheimera,Rheinheimera sp.,negative
8012,MT497274,Rheinheimera,Rheinheimera sp.,negative
8013,MT497228,Rheinheimera,Rheinheimera sp.,negative
8014,MT497227,Rheinheimera,Rheinheimera sp.,negative
8015,MT497226,Rheinheimera,Rheinheimera sp.,negative
8016,MT497225,Rheinheimera,Rheinheimera sp.,negative
8017,MT497224,Rheinheimera,Rheinheimera sp.,negative
8080,MT225101,Escherichia,Escherichia coli,negative
8082,MK170160,Acinetobacter,Acinetobacter baumannii,negative
8083,MW057862,Providencia,Providencia stuartii,negative
8084,MN508615,Escherichia,Escherichia coli,negative
8085,MN812691,Pectobacterium,Dickeya solani,negative
8087,KY742649,Proteus,Proteus mirabilis,negative
8088,MW057861,Providencia,Providencia stuartii,negative
8089,MW206381,Salmonella,Salmonella enterica,positive
8090,MW006482,Salmonella,Salmonella enterica,positive
8091,MW006481,Salmonella,Salmonella enterica,positive
8092,MW006480,Salmonella,Salmonella enterica,positive
8093,MW006479,Salmonella,Salmonella enterica,positive
8094,MW006478,Salmonella,Salmonella enterica,positive
8095,MW006477,Salmonella,Salmonella enterica,positive
8096,MW006476,Salmonella,Salmonella enterica,positive
8097,MW006475,Salmonella,Salmonella enterica,positive
8098,MW006474,Salmonella,Salmonella enterica,positive
8099,MW082584,Serratia,Serratia marcescens,negative
8100,MW082583,Serratia,Serratia marcescens,negative
8101,MW149275,Salmonella,Salmonella enterica,positive
8102,MW149274,Salmonella,Salmonella enterica,positive
8103,MW149273,Salmonella,Salmonella enterica,positive
8104,MW149272,Salmonella,Salmonella enterica,positive
8105,MT899504,Staphylococcus,Staphylococcus aureus,positive
8106,MH172264,Klebsiella,Klebsiella pneumoniae,negative
8107,MH172263,Klebsiella,Klebsiella pneumoniae,negative
8108,MH172262,Klebsiella,Klebsiella pneumoniae,negative
8109,MH172261,Klebsiella,Klebsiella pneumoniae,negative
8110,KX349323,Synechococcus,Synechococcus,negative
8111,KX349313,Synechococcus,Synechococcus,negative
8112,KX349310,Synechococcus,Synechococcus,negative
8113,MW057860,Providencia,Providencia stuartii,negative
8114,MW057859,Providencia,Providencia stuartii,negative
8115,MW057858,Providencia,Providencia stuartii,negative
8116,MW057857,Providencia,Providencia stuartii,negative
8117,MW057856,Providencia,Providencia stuartii,negative
8118,MW057855,Providencia,Providencia stuartii,negative
8119,MW057854,Providencia,Providencia stuartii,negative
8120,MW161468,Cutibacterium,Cutibacterium acnes,positive
8121,MW161467,Cutibacterium,Cutibacterium acnes,positive
8122,MW161466,Cutibacterium,Cutibacterium acnes,positive
8123,MW161465,Cutibacterium,Cutibacterium acnes,positive
8124,MW161464,Cutibacterium,Cutibacterium acnes,positive
8125,MW161463,Cutibacterium,Cutibacterium acnes,positive
8126,MW161462,Cutibacterium,Cutibacterium acnes,positive
8127,MW161461,Cutibacterium,Cutibacterium acnes,positive
8128,MW145139,Providencia,Providencia stuartii,negative
8129,MW145138,Providencia,Providencia stuartii,negative
8130,MW145137,Providencia,Providencia stuartii,negative
8131,MW145136,Providencia,Providencia stuartii,negative
8138,MT701592,Klebsiella,Klebsiella aerogenes,negative
8139,MT701591,Burkholderia,Burkholderia gladioli,negative
8140,MT701590,Klebsiella,Klebsiella pneumoniae,negative
8141,MT701589,Klebsiella,Klebsiella pneumoniae,negative
8142,MT701588,Klebsiella,Klebsiella aerogenes,negative
8143,MT701587,Burkholderia,Burkholderia cenocepacia,negative
8144,MT701586,Burkholderia,Burkholderia cenocepacia,negative
8145,MW073017,Vibrio,Vibrio alginolyticus,negative
8146,MW147367,Synechococcus,Synechococcus sp.,negative
8147,MW117966,Synechococcus,Synechococcus sp.,negative
8148,MW117965,Synechococcus,Synechococcus sp.,negative
8150,MT740315,Escherichia,Escherichia coli,negative
8151,MT740314,Escherichia,Escherichia coli,negative
8152,MT764208,Escherichia,Escherichia coli,negative
8153,MT764207,Escherichia,Escherichia coli,negative
8154,MT764206,Escherichia,Escherichia coli,negative
8155,MT710307,Salmonella,Salmonella enterica,positive
8156,MK290739,Pectobacterium,Pectobacterium carotovorum,negative
